[2025-11-14 08:29:01][INFO] Visited Catalog Page | Search:  | Page: 1 | IP: 127.0.0.1
[2025-11-14 08:29:03][INFO] Visited Checkout Page | IP: 127.0.0.1
[2025-11-14 08:31:51][INFO] Visited Catalog Page | Search:  | Page: 1 | IP: 127.0.0.1
[2025-11-14 08:31:54][INFO] Visited Checkout Page | IP: 127.0.0.1
[2025-11-14 09:07:31][INFO] Visited Catalog Page | Search:  | Page: 1 | IP: ::1
[2025-11-14 09:15:55][INFO] Visited Catalog Page | Search:  | Page: 1 | IP: ::1
[2025-11-14 09:23:09][INFO] Visited Catalog Page | Search:  | Page: 1 | IP: 127.0.0.1
[2025-11-14 09:50:27][INFO] Visited Catalog Page | Search:  | Page: 1 | IP: 127.0.0.1
[2025-11-14 09:53:16][INFO] Visited Catalog Page | Search:  | Page: 1 | IP: 127.0.0.1
[2025-11-14 09:53:56][INFO] Visited Catalog Page | Search:  | Page: 1 | IP: 127.0.0.1
[2025-11-14 09:54:00][INFO] Visited Catalog Page | Search:  | Page: 1 | IP: 127.0.0.1
[2025-11-14 09:54:06][INFO] Visited Catalog Page | Search:  | Page: 1 | IP: 127.0.0.1
[2025-11-14 10:53:14][INFO] Visited Catalog Page | Search:  | Page: 1 | IP: 127.0.0.1
[2025-11-14 11:01:07][INFO] Visited Catalog Page | Search:  | Page: 1 | IP: 127.0.0.1
[2025-11-14 11:01:15][INFO] Visited Catalog Page | Search:  | Page: 1 | IP: 127.0.0.1
[2025-11-14 11:01:16][INFO] Visited Catalog Page | Search:  | Page: 1 | IP: 127.0.0.1
[2025-11-14 11:45:07][INFO] Visited Catalog Page | Search:  | Page: 1 | IP: 127.0.0.1
[2025-11-14 11:45:08][INFO] Visited Catalog Page | Search:  | Page: 1 | IP: 127.0.0.1
[2025-11-14 11:51:38][INFO] Visited Catalog Page | Search:  | Page: 1 | IP: 127.0.0.1
[2025-11-14 11:59:23][INFO] Visited Catalog Page | Search:  | Page: 1 | IP: 127.0.0.1
[2025-11-14 12:08:31][INFO] Visited Catalog Page | Search:  | Page: 1 | IP: 127.0.0.1
[2025-11-14 12:08:55][INFO] 🗑️ Deleted Page | ID: 17 | Title: Sample1 | Slug: sample1 | By: admin | IP: 127.0.0.1
[2025-11-14 12:15:17][INFO] Visited Catalog Page | Search:  | Page: 1 | IP: 127.0.0.1
[2025-11-14 13:11:46][INFO] Visited Catalog Page | Search:  | Page: 1 | IP: 127.0.0.1
[2025-11-14 13:11:48][INFO] Visited Catalog Page | Search:  | Page: 1 | IP: 127.0.0.1
[2025-11-14 13:12:31][INFO] Visited Catalog Page | Search:  | Page: 1 | IP: ::1
[2025-11-14 13:13:12][INFO] Visited Catalog Page | Search:  | Page: 1 | IP: ::1
[2025-11-14 13:13:24][INFO] Visited Catalog Page | Search:  | Page: 1 | IP: ::1
[2025-11-14 13:25:13][INFO] Visited Catalog Page | Search:  | Page: 1 | IP: 127.0.0.1
[2025-11-14 13:28:32][INFO] ✏️Edit Page | ID: 13 | Title: FAQ | Slug: faq | Status: draft | By: admin | IP: 127.0.0.1
[2025-11-14 14:54:54][INFO] Visited Catalog Page | Search:  | Page: 1 | IP: 127.0.0.1
[2025-11-14 14:54:56][INFO] Visited Catalog Page | Search:  | Page: 1 | IP: 127.0.0.1
[2025-11-14 14:55:37][INFO] Visited Catalog Page | Search:  | Page: 1 | IP: 127.0.0.1
[2025-11-14 14:58:17][INFO] Visited Catalog Page | Search:  | Page: 1 | IP: 127.0.0.1
[2025-11-14 14:58:19][INFO] Visited Catalog Page | Search:  | Page: 1 | IP: 127.0.0.1
[2025-11-14 14:58:20][INFO] Visited Catalog Page | Search:  | Page: 1 | IP: 127.0.0.1
[2025-11-14 14:58:20][INFO] Visited Catalog Page | Search:  | Page: 1 | IP: 127.0.0.1
[2025-11-14 14:58:21][INFO] Visited Catalog Page | Search:  | Page: 1 | IP: 127.0.0.1
[2025-11-14 14:58:22][INFO] Visited Catalog Page | Search:  | Page: 1 | IP: 127.0.0.1
[2025-11-14 14:58:23][INFO] Visited Catalog Page | Search:  | Page: 1 | IP: 127.0.0.1
[2025-11-14 15:36:35][INFO] Visited Catalog Page | Search:  | Page: 1 | IP: 127.0.0.1
[2025-11-14 15:43:19][INFO] Visited Catalog Page | Search:  | Page: 1 | IP: 127.0.0.1
[2025-11-14 15:56:02][INFO] Visited Catalog Page | Search:  | Page: 1 | IP: 127.0.0.1
[2025-11-14 16:45:24][INFO] Visited Catalog Page | Search:  | Page: 1 | IP: 127.0.0.1
[2025-11-14 16:46:17][INFO] Visited Catalog Page | Search:  | Page: 1 | IP: 127.0.0.1
[2025-11-14 16:48:51][INFO] Visited Catalog Page | Search:  | Page: 1 | IP: 127.0.0.1
[2025-11-14 16:51:38][INFO] Visited Catalog Page | Search:  | Page: 1 | IP: 127.0.0.1
