[2025-10-31 03:52:10][INFO] Viewed catalog item: Curd | IP: 127.0.0.1
[2025-10-31 04:24:34][INFO] Viewed catalog item: Test4 | IP: 127.0.0.1
[2025-10-31 04:24:51][INFO] Order created: ID 13, Payment: cod, Total: $100 | IP: 127.0.0.1
[2025-10-31 04:34:08][INFO] Viewed catalog item: Curd | IP: 127.0.0.1
[2025-10-31 04:37:51][INFO] Viewed catalog item: TestA | IP: 127.0.0.1
[2025-10-31 04:58:09][INFO] Viewed catalog item: TestA | IP: 127.0.0.1
[2025-10-31 05:24:11][INFO] Viewed catalog item: M | IP: 127.0.0.1
[2025-10-31 05:36:49][INFO] Viewed catalog item: Curd | IP: 127.0.0.1
[2025-10-31 06:03:56][INFO] Viewed catalog item: Curd | IP: 127.0.0.1
[2025-10-31 06:10:04][INFO] Viewed catalog item: M | IP: 127.0.0.1
[2025-10-31 06:10:21][INFO] Viewed catalog item: Test1 | IP: 127.0.0.1
[2025-10-31 06:12:36][INFO] Viewed catalog item: Milk | IP: 127.0.0.1
[2025-10-31 06:17:13][INFO] Viewed catalog item: Milk | IP: 127.0.0.1
[2025-10-31 06:19:27][INFO] Viewed catalog item: Milk | IP: 127.0.0.1
[2025-10-31 06:37:45][INFO] Viewed catalog item: Testz | IP: 127.0.0.1
[2025-10-31 06:42:34][INFO] Viewed catalog item: TestA | IP: 127.0.0.1
[2025-10-31 06:42:43][INFO] Viewed catalog item: TestA | IP: 127.0.0.1
[2025-10-31 06:43:13][INFO] Viewed catalog item: Milk | IP: 127.0.0.1
[2025-10-31 07:03:29][INFO] Viewed catalog item: M | IP: 127.0.0.1
[2025-10-31 07:23:48][INFO] Viewed catalog item: M | IP: 127.0.0.1
[2025-10-31 07:25:05][INFO] Viewed catalog item: M | IP: 127.0.0.1
[2025-10-31 07:28:33][INFO] Order created: ID 14, Payment: cod, Total: $340 | IP: 127.0.0.1
[2025-10-31 07:30:48][INFO] Viewed catalog item: M | IP: 127.0.0.1
