[2025-11-04 04:41:18][INFO] Viewed catalog item: Curd | IP: 127.0.0.1
[2025-11-04 04:41:37][INFO] Viewed catalog item: TestA | IP: 127.0.0.1
[2025-11-04 04:49:46][INFO] Viewed catalog item: TestA | IP: 127.0.0.1
[2025-11-04 04:51:13][INFO] Viewed catalog item: TestA | IP: 127.0.0.1
[2025-11-04 04:58:32][INFO] Viewed catalog item: TestA | IP: 127.0.0.1
[2025-11-04 05:02:29][INFO] Viewed catalog item: TestA | IP: 127.0.0.1
[2025-11-04 05:07:13][INFO] Viewed catalog item: TestA | IP: 127.0.0.1
[2025-11-04 05:07:35][INFO] Viewed catalog item: M | IP: 127.0.0.1
[2025-11-04 05:07:48][INFO] Viewed catalog item: M | IP: 127.0.0.1
[2025-11-04 05:07:51][INFO] Viewed catalog item: Milk | IP: 127.0.0.1
[2025-11-04 05:29:55][INFO] Viewed catalog item: Milk | IP: 127.0.0.1
[2025-11-04 05:33:45][INFO] Payment canceled for order 28 | IP: 127.0.0.1
[2025-11-04 05:57:14][INFO] Viewed catalog item: Milk | IP: 127.0.0.1
[2025-11-04 05:57:29][INFO] Viewed catalog item: TestA | IP: 127.0.0.1
[2025-11-04 07:24:39][INFO] Viewed catalog item: Curd | IP: 127.0.0.1
[2025-11-04 07:25:58][INFO] Viewed catalog item: TestA | IP: 127.0.0.1
[2025-11-04 07:30:25][INFO] Viewed catalog item: TestA | IP: 127.0.0.1
[2025-11-04 09:04:45][INFO] Viewed catalog item: TestA | IP: 127.0.0.1
[2025-11-04 09:12:15][INFO] Viewed catalog item: TestA | IP: 127.0.0.1
[2025-11-04 09:14:05][INFO] Viewed catalog item: Milk | IP: 127.0.0.1
[2025-11-04 09:24:33][INFO] Viewed catalog item: Test1 | IP: 127.0.0.1
[2025-11-04 09:39:26][INFO] Viewed catalog item: Testz | IP: 127.0.0.1
[2025-11-04 09:52:54][INFO] Viewed catalog item: Curd | IP: 127.0.0.1
[2025-11-04 09:56:13][INFO] Viewed catalog item: Curd | IP: 127.0.0.1
[2025-11-04 10:33:37][INFO] Viewed catalog item: Curd | IP: 127.0.0.1
[2025-11-04 10:52:53][INFO] Viewed catalog item: TestA | IP: 127.0.0.1
